Method,Input,Result,ExecutionTime(s)
Iterative,3,6,0.0000000100
Iterative,6,720,0.0000000100
Iterative,7,5040,0.0000000100
Iterative,8,40320,0.0000000100
Recursive,3,6,0.0000000100
Recursive,6,720,0.0000000100
Recursive,7,5040,0.0000000200
Recursive,8,40320,0.0000000500
IterativeRISCV,3,6,0.0000000200
IterativeRISCV,6,720,0.0000000600
IterativeRISCV,7,5040,0.0000000700
IterativeRISCV,8,40320,0.0000000800
RecursiveRISCV,3,6,0.0000000100
RecursiveRISCV,6,720,0.0000000600
RecursiveRISCV,7,5040,0.0000000700
RecursiveRISCV,8,40320,0.0000001100
