Matrix Size,MNK,MKN,NMK,NKM,KMN,KNM
10,0.000005,0.000004,0.000015,0.000004,0.000004,0.000007
20,0.000037,0.000044,0.000037,0.000044,0.000044,0.000044
30,0.000100,0.000115,0.000116,0.000095,0.000103,0.000160
40,0.000436,0.000680,0.000421,0.000264,0.000680,0.000289
50,0.000599,0.000544,0.000575,0.000476,0.000630,0.000477
60,0.000849,0.001018,0.000904,0.000935,0.000882,0.000804
70,0.001334,0.001697,0.001412,0.001464,0.001261,0.001358
80,0.001989,0.001824,0.003145,0.001740,0.002041,0.001712
90,0.003195,0.002334,0.003055,0.002420,0.002536,0.002417
100,0.004265,0.003358,0.003929,0.003706,0.003599,0.003494
200,0.047798,0.027823,0.034659,0.032094,0.031344,0.031770
300,0.137827,0.121963,0.111259,0.128352,0.111348,0.126785
400,0.364247,0.227482,0.266461,0.299849,0.253194,0.289635
