Matrix Size,Original MKN,Blocked MKN,Multithreaded MKN,MT+Blocked MKN
10,0.000004,0.000004,0.000837,0.000327
20,0.000030,0.000030,0.000346,0.000484
30,0.000135,0.000131,0.000414,0.000534
40,0.000704,0.000321,0.001489,0.000721
50,0.000500,0.002235,0.001404,0.000805
60,0.001181,0.000837,0.001801,0.000978
70,0.001554,0.001759,0.001381,0.001345
80,0.002256,0.002496,0.006022,0.002319
90,0.003149,0.003698,0.001679,0.002872
100,0.004825,0.004161,0.002965,0.001722
200,0.036317,0.033644,0.013094,0.014867
300,0.116261,0.119859,0.041531,0.047101
400,0.300346,0.343211,0.089328,0.094149
