Matrix Size,Original MNK,Blocked MNK,Multithreaded MNK,MT+Blocked MNK
10,0.000007,0.000005,0.001147,0.001386
20,0.000036,0.000057,0.000722,0.001361
30,0.000122,0.000140,0.000572,0.000781
40,0.000404,0.000296,0.000616,0.000623
50,0.000587,0.000571,0.002323,0.000676
60,0.001002,0.001048,0.001442,0.000826
70,0.001593,0.001894,0.001432,0.001147
80,0.004194,0.004427,0.002006,0.002561
90,0.003783,0.004291,0.002598,0.001680
100,0.005689,0.004996,0.002714,0.002175
200,0.065367,0.032176,0.014919,0.012587
300,0.129130,0.116936,0.038705,0.041104
400,0.403723,0.272456,0.076058,0.086360
